x,y
0,0
0.01,0.00524091
0.02,0.0104817
0.03,0.0157222
0.04,0.0209622
0.05,0.0262017
0.06,0.0314404
0.07,0.0366783
0.08,0.0419152
0.09,0.0471509
0.1,0.0523853
0.11,0.0576182
0.12,0.0628496
0.13,0.0680793
0.14,0.073307
0.15,0.0785327
0.16,0.0837563
0.17,0.0889776
0.18,0.0941964
0.19,0.0994126
0.2,0.104626
0.21,0.109837
0.22,0.115044
0.23,0.120248
0.24,0.125449
0.25,0.130647
0.26,0.135841
0.27,0.141031
0.28,0.146217
0.29,0.1514
0.3,0.156578
0.31,0.161751
0.32,0.16692
0.33,0.172085
0.34,0.177245
0.35,0.1824
0.36,0.18755
0.37,0.192694
0.38,0.197834
0.39,0.202967
0.4,0.208096
0.41,0.213218
0.42,0.218334
0.43,0.223445
0.44,0.228549
0.45,0.233647
0.46,0.238738
0.47,0.243823
0.48,0.2489
0.49,0.253971
0.5,0.259035
0.51,0.264092
0.52,0.269141
0.53,0.274183
0.54,0.279217
0.55,0.284243
0.56,0.289261
0.57,0.294271
0.58,0.299273
0.59,0.304267
0.6,0.309252
0.61,0.314228
0.62,0.319196
0.63,0.324154
0.64,0.329104
0.65,0.334044
0.66,0.338975
0.67,0.343896
0.68,0.348808
0.69,0.35371
0.7,0.358601
0.71,0.363483
0.72,0.368355
0.73,0.373216
0.74,0.378066
0.75,0.382906
0.76,0.387735
0.77,0.392553
0.78,0.397359
0.79,0.402155
0.8,0.406939
0.81,0.411712
0.82,0.416472
0.83,0.421221
0.84,0.425958
0.85,0.430683
0.86,0.435396
0.87,0.440096
0.88,0.444783
0.89,0.449458
0.9,0.45412
0.91,0.458769
0.92,0.463405
0.93,0.468027
0.94,0.472636
0.95,0.477232
0.96,0.481813
0.97,0.486381
0.98,0.490935
0.99,0.495475
1,0.5
1,0.5
1.01,0.504511
1.02,0.509007
1.03,0.513489
1.04,0.517956
1.05,0.522408
1.06,0.526846
1.07,0.531268
1.08,0.535675
1.09,0.540068
1.1,0.544445
1.11,0.548807
1.12,0.553153
1.13,0.557484
1.14,0.5618
1.15,0.5661
1.16,0.570384
1.17,0.574653
1.18,0.578906
1.19,0.583142
1.2,0.587363
1.21,0.591568
1.22,0.595757
1.23,0.599929
1.24,0.604085
1.25,0.608225
1.26,0.612348
1.27,0.616454
1.28,0.620544
1.29,0.624617
1.3,0.628674
1.31,0.632713
1.32,0.636736
1.33,0.640742
1.34,0.64473
1.35,0.648701
1.36,0.652655
1.37,0.656591
1.38,0.66051
1.39,0.664412
1.4,0.668296
1.41,0.672162
1.42,0.676011
1.43,0.679841
1.44,0.683654
1.45,0.687448
1.46,0.691225
1.47,0.694983
1.48,0.698723
1.49,0.702445
1.5,0.706148
1.51,0.709833
1.52,0.713499
1.53,0.717147
1.54,0.720776
1.55,0.724386
1.56,0.727977
1.57,0.731549
1.58,0.735102
1.59,0.738635
1.6,0.74215
1.61,0.745645
1.62,0.749121
1.63,0.752577
1.64,0.756014
1.65,0.759432
1.66,0.762829
1.67,0.766207
1.68,0.769564
1.69,0.772902
1.7,0.77622
1.71,0.779518
1.72,0.782795
1.73,0.786052
1.74,0.789289
1.75,0.792505
1.76,0.795701
1.77,0.798876
1.78,0.802031
